individual,Taylor_samples_filtered.vcf.gz,corresponding_ID_fullset_pruned_GSword_Zea,fullset_pruned_GSword_Zea.vcf.gz_callset2,species,admixed,sample_rgion,sample_label_CYP337B3_geneTree,Source_lead_author,source_DOI_html,fullset_SNPs_filtered.vcf.gz_callset1,c15_phylo_CYP337B3.vcf
NA_2,N,NA_2,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_30,N,NA_30,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_32,N,NA_32,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_33,N,NA_33,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_3,N,NA_3,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_4,N,NA_4,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_6,N,NA_6,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_7,N,NA_7,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NA_9,N,NA_9,Y,zea_NA,N,NA_2019,NA,this paper,NA,Y,N
NC_10,N,NC_10,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_11,N,NC_11,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_12,N,NC_12,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_13,N,NC_13,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_14,N,NC_14,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_15,N,NC_15,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_16,N,NC_16,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_17,N,NC_17,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_18,N,NC_18,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_19,N,NC_19,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_1,N,NC_1,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_20,N,NC_20,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_21,N,NC_21,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_22,N,NC_22,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_23,N,NC_23,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_24,N,NC_24,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_25,N,NC_25,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_26,N,NC_26,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_27,N,NC_27,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_29,N,NC_29,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_2,N,NC_2,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_30,N,NC_30,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_31,N,NC_31,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_32,N,NC_32,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_3,N,NC_3,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_4,N,NC_4,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_5,N,NC_5,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_6,N,NC_6,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_7,N,NC_7,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_8,N,NC_8,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
NC_9,N,NC_9,Y,zea_NC,N,NC_2019,NA,this paper,NA,Y,N
Thrall_10,N,Thrall_10,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_11,N,Thrall_11,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_12,N,Thrall_12,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_13,N,Thrall_13,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_14,N,Thrall_14,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_16,N,Thrall_16,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_17,N,Thrall_17,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_18,N,Thrall_18,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_22,N,Thrall_22,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_25,N,Thrall_25,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_26,N,Thrall_26,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_2,N,Thrall_2,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_30,N,Thrall_30,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_32,N,Thrall_32,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_33,N,Thrall_33,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_36,N,Thrall_36,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_3,N,Thrall_3,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_4,N,Thrall_4,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_5,N,Thrall_5,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_6,N,Thrall_6,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_8,N,Thrall_8,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Thrall_9,N,Thrall_9,Y,zea_Thrall,N,Thrall_2019,NA,this paper,NA,Y,N
Tillard_11,N,Tillard_11,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
Tillard_12,N,Tillard_12,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
Tillard_14,N,Tillard_14,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
Tillard_15,N,Tillard_15,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
Tillard_1,N,Tillard_1,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
Tillard_20,N,Tillard_20,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
Tillard_24,N,Tillard_24,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
Tillard_25,N,Tillard_25,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
Tillard_26,N,Tillard_26,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
Tillard_29,N,Tillard_29,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
Tillard_2,N,Tillard_2,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
Tillard_31H,N,Tillard_31H,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
Tillard_32H,N,Tillard_32H,Y,zea_Tillard,N,Tillard_2019,NA,this paper,NA,Y,N
